# PROOF TRACE — a typed DAG; every node carries its endpoint terms by digest, every
# dependency is an earlier id, every leaf is a law instance, a definitional step or a backend obligation.
# Replay: morkl.ProofTrace.Checker (Scala, re-runs each step); scripts/check_traces.py (structural, independent).
# root	36
# id	kind	before	after	fields	deps
28	BackendRefinement	f70223979c55	02eaaa109541	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
29	Positional	d842239475cd	5b6d9e6b8643	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.1.1;by=28	28
30	BackendRefinement	f016b3bd2d7a	2e3762a82bc1	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
31	Positional	5b6d9e6b8643	2f53d0c49c8d	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.1.1;by=30	30
32	BackendRefinement	759610fce767	dc2dd0e28d6f	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-comp-right-hoist	-
33	Positional	2f53d0c49c8d	d1986e310548	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1;by=32	32
34	BackendRefinement	9d00e3452607	9d00e3452607	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=constant-ops	-
35	Positional	d1986e310548	d1986e310548	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;by=34	34
36	Compose	a2add5897eef	d1986e310548	steps=1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35	1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35
# terms
T	f96fc13d9515	Union(Iteration(Mention("ar64"),"#p0","#s1",Union(Wrap(Singleton(Deref("#p0")),Constant(["c15"])),Wrap(Singleton(Deref("#p0")),Constant(["c15"])))),Composition(Iteration(Range(Mention("ar64"),-1,0),"#p2","#s3",Singleton(Constant([]))),Union(Union(Union(Union(Union(Union(Union(Union(Union(Union(Union(Union(Union(Union(Literal(["c0._"]),Wrap(Singleton(Deref("av37")),Constant(["c1"]))),Wrap(Singleton(Deref("av39")),Constant(["c2"]))),Wrap(Singleton(Deref("av41")),Constant(["c3"]))),Wrap(Singleton(Deref("av43")),Constant(["c4"]))),Wrap(Singleton(Deref("av45")),Constant(["c5"]))),Wrap(Singleton(Deref("av47")),Constant(["c6"]))),Wrap(Singleton(Deref("av49")),Constant(["c7"]))),Wrap(Singleton(Deref("av51")),Constant(["c8"]))),Wrap(Singleton(Deref("av53")),Constant(["c9"]))),Wrap(Singleton(Deref("av55")),Constant(["c10"]))),Wrap(Singleton(Deref("av57")),Constant(["c11"]))),Wrap(Singleton(Deref("av59")),Constant(["c12"]))),Wrap(Singleton(Deref("av61")),Constant(["c13"]))),Wrap(Singleton(Deref("av63")),Constant(["c14"])))))
T	85994aa7ad36	Iteration(Mention("ar64"),"#p0","#s1",Union(Union(Union(Union(Union(Union(Union(Union(Union(Union(Union(Union(Union(Union(Union(Literal(["c0._"]),Wrap(Singleton(Deref("av37")),Constant(["c1"]))),Wrap(Singleton(Deref("av39")),Constant(["c2"]))),Wrap(Singleton(Deref("av41")),Constant(["c3"]))),Wrap(Singleton(Deref("av43")),Constant(["c4"]))),Wrap(Singleton(Deref("av45")),Constant(["c5"]))),Wrap(Singleton(Deref("av47")),Constant(["c6"]))),Wrap(Singleton(Deref("av49")),Constant(["c7"]))),Wrap(Singleton(Deref("av51")),Constant(["c8"]))),Wrap(Singleton(Deref("av53")),Constant(["c9"]))),Wrap(Singleton(Deref("av55")),Constant(["c10"]))),Wrap(Singleton(Deref("av57")),Constant(["c11"]))),Wrap(Singleton(Deref("av59")),Constant(["c12"]))),Wrap(Singleton(Deref("av61")),Constant(["c13"]))),Wrap(Singleton(Deref("av63")),Constant(["c14"]))),Wrap(Singleton(Deref("#p0")),Constant(["c15"]))))
