# terminating/REGISTRY.tsv — THE TOTAL MAP of the recursion-lowering surface to its obligations.
#
# Columns:  id  kind  file  code-site  statement
#   kind = FILE       a machine-checked obligation file; terminating/run.sh runs it and
#                     terminating/STATUS.tsv carries its per-prover verdict.
#          SCHEMATIC  a FILE whose theorem is an induction SCHEMA over the Space grammar or over the
#                     component arity: the file pins the base, the step, and the instances the
#                     compiler actually emits, and the general arity/depth follows by that step.
#          PROPERTY   a syntactic or executable property, discharged by a Scala test rather than by
#                     a prover, because an SMT model of it would be a re-implementation.
#          CITED      already discharged by an obligation OUTSIDE terminating/; the row exists so
#                     the code site is not left looking uncovered.
#          NEGATIVE-RESULT  a kept, annotated FAILED attempt.  Not run by run.sh.
#          OPEN       stated here, NOT discharged.  The reason is in the named file's header.
#          MECHANIZED (proofs/lean/…)  discharged by a Lean-checked theorem; the `file` column names the theorem(s)
#                     and `scripts/check_lean.sh` audits their axioms.  Qualified `PARAMETRIC` when a premise is
#                     left explicit (its own row says which), `PER RUN` when an executable invariant must hold
#                     on the run for the theorem to apply (`SCReport.leanCovered`).
#          ADMITTED   an explicit trusted assumption (docs/TRUSTED.md); none remain after 2E.3.
#          OPEN+DIFFERENTIAL / OPEN+NARROWED / REFUTED-CLOSED / CONSTRUCTION+GATE  variants of OPEN and CITED,
#                     each explained in its row.
#
# "TOTAL over the recursion-lowering surface" means: every function that creates, consumes, or
# rewrites a Space.Fixpoint or a recursive Space.Call has at least one row.  The eleven such sites
# are MORKL.scala {1214 asFixpoint, 1235 lowerMutualPassthrough, 1279 asFixpointGeneral,
# 1321 lowerMutualByElimination, 1347 lowerCalls, 333 eval-Fixpoint, 652 exec-Fixpoint,
# 523/728 transpile/untranspile}, EquivPipeline.scala {91 expand-Fixpoint, 410 unrollControl},
# SpatialRecursion.scala {BoundedRecursion}, Zipper.scala {302 fallback}, and
# Supercompiler.scala {309/473/728 fold/msg/drive}.  Line numbers are as of this change set.
#
# A row whose kind is OPEN or PROPERTY is NOT a proved obligation.  Read STATUS.tsv for what a
# prover actually said; read the file header for what was attempted and what compensating coverage
# exists.  Never turn an OPEN row into a FILE row by weakening its statement.
#
id	kind	file	code-site	statement
O2	FILE	terminating/asfixpoint_sound.smt2	MORKL.scala:1214 asFixpoint	The Call rule with the stabilised-argument cut and the Fixpoint loop compute the SAME value (Ev(0) = A_n) and stop on the SAME test.  Needs no monotonicity.
O3a	SCHEMATIC	terminating/tagged_projection.smt2	MORKL.scala:1265, :1309-1310 (tag construction)	Round trip, zero cross-talk for different head items, and the n-ary tagged-union projection (base + step + the arities 2 and 3 the compiler emits).
O3a'	FILE	terminating/tagged_order.smt2	MORKL.scala:1235 lowerMutualPassthrough, :1279 asFixpointGeneral	The tagged order agrees with the componentwise order: Wrap(A,t1) u Wrap(B,t2) subset= Wrap(A',t1) u Wrap(B',t2) iff A subset= A' and B subset= B'.
O3c	FILE	terminating/tagged_projection.smt2 (last goal)	MORKL.scala:1279-1319 asFixpointGeneral	The two-tagged step is a function of the #arg# projection alone, so the executor's whole-state stop test firing one round late adds nothing to #out#.
O3d	FILE	terminating/mono_soundness.smt2	MORKL.scala:1284-1307 monoIn	Arm-by-arm soundness of the syntactic monotonicity gate.  Union/Intersection/Composition/Restriction/Wrap/Unwrap/TailsUnion/Subtraction-left and composition-of-arms are PROVED.
O3d-X1	REFUTED-CLOSED	terminating/mono_soundness.smt2 (CE1a-c)	MORKL.scala mono/monoIn TailsIntersection arms	REFUTED, AND THE ARM IS NOW CONSERVATIVE.  A = {0.7} subset= B = {0.7,1.8} but TI(A) = {7} is not subset= TI(B) = {}.  `mono` and `monoIn` no longer assume monotonicity in that position: both read `case TailsIntersection(a) => !refersScc(a)` / `!uses(a, m)`, i.e. the recursive occurrence is FORBIDDEN under a TailsIntersection rather than assumed monotone there.  Executed countermodel: proofs/unbounded/COUNTERMODELS.tsv (negative/not_ti_monotone).
O3d-X2	REFUTED-CLOSED	terminating/mono_soundness.smt2 (CE2a-c)	MORKL.scala mono/monoIn Iteration arms	REFUTED, AND THE ARM IS NOW CONSERVATIVE.  A = {0.7} subset= B = {0.7,0.9} but Iter(A) = {eps} is not subset= Iter(B) = {} for a rest-antitone body.  Both gates now read `case Iteration(src,_,_,b) => !refersScc(src) && mono(b)` / `!uses(src, m) && monoIn(b, m)`: the recursive occurrence is forbidden in the SOURCE, so no assumption about the loop variable is made.  `AgnosticPipeline.monotoneInMention` gets the general case right and is the model.
O4	FILE	terminating/mutual_tagged_bekic.smt2	MORKL.scala:1235-1270 lowerMutualPassthrough	The tagged encoding is faithful: fixpoints and pre-fixpoints correspond componentwise, so lfp(Psi) projects to the COMPONENTWISE LEAST solution of the mutual system.
O4b	FILE	terminating/mono_soundness.smt2	MORKL.scala:1247-1270 mono	Same arms, same verdicts, as O3d/O3d-X1/O3d-X2: `mono` and `monoIn` accept the same constructor list.
O5	FILE	terminating/mutual_tagged_bekic.smt2 (O5 section)	MORKL.scala:1321-1333 lowerMutualByElimination (the no-self-call check is :1327)	Gaussian elimination preserves the LEAST solution: with g not self-recursive, (E, B2(E,E)) is the least solution of the 2-system, where E is the least solution of the eliminated equation.
O5-NC	PROPERTY	src/test/scala/GraphExecTest.scala:294-297	MORKL.scala:1321, :1235	NON-CLAIM, tested not proved: the lowering does NOT preserve the OPERATIONAL eval semantics — the original mutual recursion diverges where the lowered Fixpoint converges.  Belongs in both scaladocs.
O6a	MECHANIZED (proofs/lean/Zippy/SubstSem.lean)	proofs/lean/Zippy/SubstSem.lean#Zippy.substS_denT, #Zippy.substP_denT, #Zippy.instance_denT, #Zippy.fixpoint_alpha, #Zippy.fixpoint_shadow, #Zippy.iteration_shadow; hygiene proofs/lean/Zippy/Subst.lean#Zippy.substS_keeps_freeM; correspondence trace proofs/lean/Zippy/Trace.lean (generated by SubstTrace); differential src/test/scala/SubstConformance.scala, SubstCapture.scala	MORKL.scala Lower.inline, EquivPipeline.scala substMention/substPathRef (forwarders), Supercompiler.scala Matching.subst (forwarder), Subst.scala (the one implementation)	Beta-soundness of acyclic inlining, [[Call r(a;s)]] = [[B[x:=a, m:=s]]] with capture-avoiding substitution.  SEMANTIC HALF MECHANIZED (C1): `substS_denT` — for every constructor incl. Call/Iteration/Fixpoint and every fresh-name supply, ⟦substS σ s⟧δρ = ⟦s⟧δ(ρ extended by σ's denotations); the binder cases are the semantic reading of capture avoidance (fresh name outside every replacement's and the body's free names) and shadowing (the bound name dropped from the substitution).  Corollaries: `instance_denT` (the fold-site lemma O12b's `fix` premise cites), `fixpoint_alpha`, `fixpoint_shadow`, `iteration_shadow`.  The SYNTACTIC correspondence of the Scala with `substS` is the generated trace (`Trace.lean`, every production substitution of the seeded passes re-checked as a Lean equation) plus the differential suites; every production substitution routes through `Subst.apply` (the three former implementations are forwarders).
O6b	PROPERTY	src/test/scala/GraphExecTest.scala:226-320	MORKL.scala:1360-1378 (isCyclic/reach/acyclic)	`all_forever(Lower.inline)` terminates because the Call graph restricted to `acyclic` is a DAG.  Executable property: the inliner is run to convergence on the corpus and on every cornerstone.
O7	PROPERTY	src/test/scala/GraphExecTest.scala:226-320	MORKL.scala:523/728 (transpile/untranspile), :652-670 (one reused frame)	Fixpoint survives the op-graph round trip and exec/execT's loop computes eval's.  Differential only: eval == exec == execT on the corpus (traps.md #2).  The ONE REUSED FRAME invariant (`frame(0)=cur` allocated once) is not separately stated.
O8	PROPERTY	src/test/scala/EquivPipelineTest.scala (materialize gate)	Zipper.scala:302	The zipper has no native Fixpoint; it falls back to evalI and materialises.  Instance-gated by assertEquals(materialize(zProg).toSpaceValue, reference).  Made moot if the zipper gains a real Fixpoint (plan item 1).
O9a	CITED	terminating/fixpoint_is_lfp.smt2	EquivPipeline.scala:91-100 expand-Fixpoint	`expand`'s convergence unrolling is the SAME recurrence as eval's, so O1 covers it verbatim; nothing further is claimed about `expand`.
O9b	FILE	terminating/asfixpoint_sound.smt2 (STOP goal)	EquivPipeline.scala:111-125 (stabilised-argument cut)	The cut test IS the loop's stop test; at a stationary index one more round adds nothing on either side.
O9c	CITED	proofs/keyfold_iter.smt2, proofs/keyfolds.smt2	EquivPipeline.scala:82-90 expand-Iteration	Iteration = union over head groups = fold over exact keys, universally.  Already certified at the movement level; not re-proved here.
O10a	FILE	terminating/unroll_vs_kleene.smt2	EquivPipeline.scala:410-423 AgnosticPipeline.unrollControl	A_k = U_k = C_k under monotone F AND I subset= F(I).  BOTH hypotheses machine-checked as necessary: two counterexamples, plus a decidable (_ BitVec 3) re-run of both as the anti-vacuity witness.
O10a-GAP	CITED	terminating/unroll_vs_kleene.smt2 (header)	EquivPipeline.scala:423	WAS: unrollControl built the INFLATIONARY chain while every executor iterates the KLEENE chain, gated on neither hypothesis.  RESOLVED in this change set by plan item 1: the Fixpoint case no longer unrolls at all, the binder survives to the provers.  O10a remains the certificate that the change was necessary and the licence for previously generated -agnostic artifacts.
O10b	MECHANIZED (proofs/lean/Zippy/Positive.lean)	proofs/lean/Zippy/Positive.lean#Zippy.Space.fixpoint_is_lfp, #Zippy.Space.fixpoint_denT_eq_of_step_eq, #Zippy.Kleene.iUnion_chain_is_lfp	EquivPipeline.scala unrollControl / EquivPipelineTest.agnosticLegs; Positive.lean posB ↔ AgnosticPipeline.monotoneInMention	k-unrolling equivalence for ALL k plus omega-continuity implies lfp equivalence.  MECHANIZED: `posB` is the positive fragment as a decision procedure (the Lean twin of monotoneInMention, arm for arm, with the Fixpoint arm strengthened and the Scala arm tightened to match); `denT_mono` / `denT_cont` give monotonicity AND omega-continuity per constructor; `iUnion_chain_is_lfp` is the all-k approximant theorem (the union of every approximant IS the least post-fixpoint); `fixpoint_denT_eq_of_step_eq` is the consumer form — one-step agreement for EVERY value of the recursion variable gives agreement of the fixpoints, no k.  CONSUMER WIRED: a pipeline cell with a residual cut now carries a `RESIDUAL CUT (k=…) LIFTED` note citing the theorem (both sides cut the same routine), and the BOUNDED-UNROLLING stamp is gone; `AgSmt.fixSym`'s first-class Fix clauses are `; DERIVED-FROM:` the theorem.
O10c	CONSTRUCTION+GATE	(by construction; gated in EquivPipelineTest)	EquivPipeline.scala ResidualCut / alignCuts	THE SHARED RESIDUAL FREE INPUT IS NOW A FUNCTION OF ITS ARGUMENTS.  A cut is `residual_<routine>_<depth>_<sha256(alpha-normalised refs; mentions)>`, so two cuts share a symbol IFF they cut the same routine at the same depth with alpha-equal arguments — the registry's stated condition, DECIDED rather than assumed.  Was: the symbol was `residual_<routine>_<depth>`, the arguments were discarded, and the test compared NAME SETS, which carried no argument information to compare.  `EquivPipelineTest` now calls `alignCuts` and, where routine and depth agree but the arguments do not, emits the ARGUMENT EQUIVALENCE as its own prover obligation (`<name>-residual-args-k<k>-<i>.smt2`); an undischarged one fails the cell instead of aliasing two unrelated inputs.
O11a	FILE	terminating/bounded_recursion_residual.smt2	SpatialRecursion.scala:72-76 (BoundedRecursion)	mu(a_0) = L, mu natural, mu strictly dropping => depth L+1 is unreachable, so unrolling L+1 levels is enough.
O11b	CITED	proofs/spatial/lat_postfixpoint.smt2	SpatialRecursion.scala:182-192 Summaries.certified	F#(T) subset= T and init subset= T => every Kleene iterate subset= T.  Already certified; this row is the citation the code site lacked.
O11c	FILE	terminating/bounded_recursion_residual.smt2 (cut section)	SpatialRecursion.scala (BoundedRecursion cut)	With a SOUND summary and gamma(bottom) = {}, a bottom summary at the cut depth forces the concrete call to {}, so replacing it by `Empty` preserves the denotation.
O11d	PROPERTY	src/test/scala/SpatialRecursionCheck.scala	SpatialRecursion.scala:80-82 (`#sr#` reserved prefix)	The per-level alpha-renaming is capture-avoiding.  Syntactic; an SMT model would re-implement the renamer and prove nothing about it.
O12a	MECHANIZED (unfold: proofs/lean/Zippy/Drive.lean, SubstSem.lean) + CITED (laws: proofs/laws/*.smt2)	proofs/lean/Zippy/Drive.lean#Zippy.DriveSystem.unfold_inf, #Zippy.DriveSystem.unfold_succ, #Zippy.unfold_step, #Zippy.DriveSystem.DStep.sound, #Zippy.DriveSystem.DTrace.sound; proofs/lean/Zippy/SubstSem.lean#Zippy.substS_denT; proofs/laws/REGISTRY.tsv (the law half, per law)	Supercompiler.scala SC.State.unfold / drive / reduce, SC.reduceTraced + verifyTrace	Each driving step preserves the denotation.  THE UNFOLD HALF IS MECHANIZED (C2): `unfold_step` — a call to a closed routine equals its body with the arguments substituted, by `substS_denT` and the positional-binding agreement `argEnv_extend_agree`; at the fixpoint (`unfold_inf`) and at every approximant with call-free arguments (`unfold_succ`, the depth shift the productivity premise needs).  THE LAW HALF is certified per law in proofs/laws/ (SMT) and enters the trace as `DStep.law`, whose soundness at any position is `Ctx.plug_congr`; `DTrace.sound` composes an arbitrary finite chain.  What remains conditional is exactly the per-law SMT certificate a `law` step cites — a registry dependency, not an open premise.
O12b	MECHANIZED (proofs/lean/Zippy/Supercompile.lean; INSTANTIATED in proofs/lean/Zippy/Drive.lean)	proofs/lean/Zippy/Supercompile.lean#Zippy.Fold.fold_correct, #Zippy.Fold.resid_lfp_eq_orig; proofs/lean/Zippy/Drive.lean#Zippy.DriveSystem.premises, #Zippy.DriveSystem.drive_correct, #Zippy.DriveSystem.drive_node, #Zippy.fold_step	Supercompiler.scala:253 (instanceOf), scCall (checkFold: foldChecks), makeNode (unfoldedNodes), SC.callPositive (residualPositive), paramsOf (Tclosed); SC.State.leanCovered	FOLD: the residual system's least fixpoint is the original meaning.  `fold_correct` is the parametric theorem; `DriveSystem.premises` DERIVES its `FoldPremises` (fix, productive, zero, mono, sup) from the run's recorded driving traces and the executable invariants as `DriveSystem` fields — configurations are calls with call-free arguments (`SC.callPositive`), bodies closed by their parameters (`paramsOf`), residual bodies positive (`residualPositive`), one unfold per node (`unfoldedNodes`, the `Traced` shape), every fold an instance (`checkFold`, `fold_step` via C1's `instance_denT`).  `drive_correct`: `kleene (sys TT) = mixed tO∞`; `drive_node`: each residual routine computes exactly its configuration's original meaning.  No `fix` premise is assumed any more: the remaining hypotheses are the per-law certificates the `law` steps cite (O12a) and the run's trace being of the recorded shape (C3's typed trace replay).
O12c	PROPERTY	src/test/scala/SupercompilerTest.scala	Supercompiler.scala:473-520 (msg/gen)	`gen(a,b)` returns a skeleton and substitutions theta_a, theta_b with skeleton.theta_a = a and skeleton.theta_b = b.  Purely syntactic; a property test over the fuzzer corpus is the right evidence.
O12d	MECHANIZED, PER RUN (proofs/lean/Zippy/Whistle.lean)	proofs/lean/Zippy/Whistle.lean#Zippy.Whistle.kruskal, #Zippy.Whistle.whistle_terminates, #Zippy.Whistle.embedsB_iff, #Zippy.Whistle.embedsB_wqo	Supercompiler.scala:439 (embeds), Matching.labelOf/toLabel, SC.State.{alphabetEscapes,whistleFallbacks}, src/test/scala/WhistleTrace.scala	The embedding is a well-quasi-order on the configuration signature, hence driving terminates.  MECHANIZED: Kruskal's tree theorem proved from Mathlib's Higman lemma by Nash-Williams' minimal bad sequence (Mathlib has Higman and not Kruskal — `scripts/check_lean.sh --probe-kruskal`), `whistle_terminates` (whistle-free path extension is well-founded), `embedsB_iff` (the executable embedding on label trees IS the relation), `embedsB_wqo` (over a finite alphabet).  WHAT CHANGED IN THE CODE, because the theorem was FALSE of it: `coupledS` compared canonical bound names, full RoutinePtrs, Range bounds and closure identities by equality over unbounded sets — an infinite antichain of nested Iterations existed.  `Matching.labelOf` fixes the whistle's alphabet (all variables of a sort share a label; a Call is labelled by its ORIGINAL routine and arities), `alphabetEscapes` checks per run that no label outside the inputs' alphabet was minted, `whistleFallbacks` counts blows the (fine-coupling) generalizer could not act on; the theorem covers a run exactly when both are 0 (`SCReport.leanCovered`).  `WhistleTrace.lean` (generated by `Matching.toLabel`) re-decides every pair a run compared.  docs/TRUSTED.md T3 is DISCHARGED accordingly.
O13	FILE	terminating/seminaive_correct.smt2	EquivPipelineTest.scala:543-551; terminating/datalog_b.txt (pt_sn)	Naive and semi-naive agree ROUND FOR ROUND (A_n = N_n) given an ADDITIVE, strict join operator; a stalled `all` empties the delta on the next round; and the common limit is the least solution above the seed.
O13-SC	PROPERTY	(author of the semi-naive program)	EquivPipelineTest.scala:543-551	The additivity side condition J(X u Y) = J(X) u J(Y) is on the AUTHOR: there is no semi-naive TRANSFORMATION in this compiler, so no pass can be blamed or credited for it.  Discharged per operator by proofs/keyfold_iter.smt2, proofs/threeway_restriction_*, proofs/threeway_tailsunion_trie.smt2.
A2-VAR	MECHANIZED (proofs/lean/Zippy/Delta.lean)	proofs/lean/Zippy/Delta.lean#Zippy.Space.varB_sound	DeltaIR.scala:103 (Variance.of; routineTable; DepGraph edges)	The four-valued variance analysis is SOUND: a `+` label denotes a monotone dependence on the mention, `-` an antitone one, `·` a constant one (`Rel`), for every constructor of the language, with the routine table trusted through `VarGood` (each routine grows with its arguments as its row says).  `Var.compose`/`Var.join` are the composition table; `Variance.of` is the Scala twin arm for arm.
A2-STRAT	MECHANIZED (proofs/lean/Zippy/Strata.lean)	proofs/lean/Zippy/Strata.lean#Zippy.Sim.Sys.tagged_lfp, #Zippy.Sim.Sys.lfp_le_of_post, #Zippy.Sim.unary_eq, #Zippy.Sim.stratum_frozen_sound	DeltaIR.scala:186 (Scc.certified; System; DeltaIR.lower)	A positive SCC as a SIMULTANEOUS system `X_i = init_i ∪ F_i(X̄; L)` has a least post-fixpoint, the union of the Kleene chain of its tagged-union form (O4's encoding), componentwise least; the one-equation system's solution IS `Space.fixpoint`'s denotation (unary correspondence); a stratum needs monotonicity in its OWN variables only — a `-`/`0` dependency on a completed lower stratum is a frozen constant, which is why `Scc.certified` admits it and rejects it inside an SCC.
A2-DELTA	MECHANIZED (proofs/lean/Zippy/Delta.lean)	proofs/lean/Zippy/Delta.lean#Zippy.Delta.dden_sound, #Zippy.Delta.delta_step_eq, #Zippy.Delta.delta_iteration_eq_naive	DeltaIR.scala:452 (Delta.dden; Exec.solve)	THE DIFFERENTIAL TRANSFER: for `old ≤ new` on the changing variables and a body positive in each, `⟦s⟧new ⊆ ⟦s⟧old ∪ dden s` and `dden s ⊆ ⟦s⟧new` (D1/D2, per rule — nonlinear bodies enumerate every term with a changed argument, new iteration heads take the whole body, nested fixpoints and frozen callees take the whole new value); hence the STEP EQUATION `A ∪ deltaStep(F, A, lastΔ) = A ∪ F(A)` under the invariant `F(A_prev) ⊆ A`, and the semi-naive and naive recurrences agree at EVERY round (`Exec.run(verify = true)` re-checks it per round; DeltaIRCheck asserts it).
